Statistic Label,Year,Commodity Group,Country,VALUE,Missing,Commodity Code,Commodity Category,ISO3
Value of Imports,2015,Meat and meat preparations (01),Germany,97185.0,False,1,Food and Beverages,DEU
Value of Imports,2015,Meat and meat preparations (01),Denmark,20805.0,False,1,Food and Beverages,DNK
Value of Imports,2015,Meat and meat preparations (01),Estonia,40.0,False,1,Food and Beverages,EST
Value of Imports,2015,Meat and meat preparations (01),Spain,27531.0,False,1,Food and Beverages,ESP
Value of Imports,2015,Meat and meat preparations (01),Finland,26.0,False,1,Food and Beverages,FIN
Value of Imports,2015,Meat and meat preparations (01),France,20698.0,False,1,Food and Beverages,FRA
Value of Imports,2015,Meat and meat preparations (01),Greece,,True,1,Food and Beverages,GRC
Value of Imports,2015,Meat and meat preparations (01),Croatia,,True,1,Food and Beverages,HRV
Value of Imports,2015,Meat and meat preparations (01),Hungary,197.0,False,1,Food and Beverages,HUN
Value of Imports,2015,Meat and meat preparations (01),India,4.0,False,1,Food and Beverages,IND
Value of Imports,2015,Meat and meat preparations (01),Italy,13680.0,False,1,Food and Beverages,ITA
Value of Imports,2015,Meat and meat preparations (01),Japan,5.0,False,1,Food and Beverages,JPN
Value of Imports,2015,Meat and meat preparations (01),South Korea,61.0,False,1,Food and Beverages,KOR
Value of Imports,2015,Meat and meat preparations (01),Lithuania,3318.0,False,1,Food and Beverages,LTU
Value of Imports,2015,Meat and meat preparations (01),Luxembourg,,True,1,Food and Beverages,LUX
Value of Imports,2015,Meat and meat preparations (01),Latvia,85.0,False,1,Food and Beverages,LVA
Value of Imports,2015,Meat and meat preparations (01),Malta,,True,1,Food and Beverages,MLT
Value of Imports,2015,Meat and meat preparations (01),Mexico,,True,1,Food and Beverages,MEX
Value of Imports,2015,Meat and meat preparations (01),Malaysia,,True,1,Food and Beverages,MYS
Value of Imports,2015,Meat and meat preparations (01),Netherlands,186702.0,False,1,Food and Beverages,NLD
Value of Imports,2015,Meat and meat preparations (01),Norway,,True,1,Food and Beverages,NOR
Value of Imports,2015,Meat and meat preparations (01),Poland,47619.0,False,1,Food and Beverages,POL
Value of Imports,2015,Meat and meat preparations (01),Portugal,699.0,False,1,Food and Beverages,PRT
Value of Imports,2015,Meat and meat preparations (01),Romania,1484.0,False,1,Food and Beverages,ROU
Value of Imports,2015,Meat and meat preparations (01),Russia,0.0,False,1,Food and Beverages,RUS
Value of Imports,2015,Meat and meat preparations (01),Saudi Arabia,,True,1,Food and Beverages,SAU
Value of Imports,2015,Meat and meat preparations (01),Sweden,564.0,False,1,Food and Beverages,SWE
Value of Imports,2015,Meat and meat preparations (01),Singapore,,True,1,Food and Beverages,SGP
Value of Imports,2015,Meat and meat preparations (01),Slovenia,8.0,False,1,Food and Beverages,SVN
Value of Imports,2015,Meat and meat preparations (01),Slovakia,98.0,False,1,Food and Beverages,SVK
Value of Imports,2015,Meat and meat preparations (01),Thailand,32937.0,False,1,Food and Beverages,THA
Value of Imports,2015,Meat and meat preparations (01),Turkey,,True,1,Food and Beverages,TUR
Value of Imports,2015,Meat and meat preparations (01),Taiwan,,True,1,Food and Beverages,TWN
Value of Imports,2015,Meat and meat preparations (01),USA,850.0,False,1,Food and Beverages,USA
Value of Imports,2015,Meat and meat preparations (01),Great Britain,393414.0,False,1,Food and Beverages,GBR
Value of Imports,2015,Meat and meat preparations (01),Northern Ireland,64558.0,False,1,Food and Beverages,GBR
Value of Imports,2015,Meat and meat preparations (01),South Africa,,True,1,Food and Beverages,ZAF
Value of Imports,2015,Meat and meat preparations (01),EU country not specified,6112.0,False,1,Food and Beverages,EUU
Value of Imports,2015,Meat and meat preparations (01),Other countries,1830.0,False,1,Food and Beverages,OTH
Value of Imports,2015,Dairy products and birds eggs (02),Austria,2180.0,False,2,Food and Beverages,AUT
Value of Imports,2015,Dairy products and birds eggs (02),Australia,0.0,False,2,Food and Beverages,AUS
Value of Imports,2015,Dairy products and birds eggs (02),Belgium,12896.0,False,2,Food and Beverages,BEL
Value of Imports,2015,Dairy products and birds eggs (02),Bulgaria,658.0,False,2,Food and Beverages,BGR
Value of Imports,2015,Dairy products and birds eggs (02),Brazil,23.0,False,2,Food and Beverages,BRA
Value of Imports,2015,Dairy products and birds eggs (02),Canada,84.0,False,2,Food and Beverages,CAN
Value of Imports,2015,Dairy products and birds eggs (02),Switzerland,148.0,False,2,Food and Beverages,CHE
Value of Imports,2015,Dairy products and birds eggs (02),China,0.0,False,2,Food and Beverages,CHN
Value of Imports,2015,Dairy products and birds eggs (02),Cyprus,237.0,False,2,Food and Beverages,CYP
Value of Imports,2015,Dairy products and birds eggs (02),Czech Republic,16.0,False,2,Food and Beverages,CZE
Value of Imports,2015,Dairy products and birds eggs (02),Germany,67039.0,False,2,Food and Beverages,DEU
Value of Imports,2015,Dairy products and birds eggs (02),Denmark,21147.0,False,2,Food and Beverages,DNK
Value of Imports,2015,Dairy products and birds eggs (02),Estonia,50.0,False,2,Food and Beverages,EST
Value of Imports,2015,Dairy products and birds eggs (02),Spain,1845.0,False,2,Food and Beverages,ESP
Value of Imports,2015,Dairy products and birds eggs (02),Finland,6685.0,False,2,Food and Beverages,FIN
Value of Imports,2015,Dairy products and birds eggs (02),France,44817.0,False,2,Food and Beverages,FRA
Value of Imports,2015,Dairy products and birds eggs (02),Greece,2343.0,False,2,Food and Beverages,GRC
Value of Imports,2015,Dairy products and birds eggs (02),Croatia,,True,2,Food and Beverages,HRV
Value of Imports,2015,Dairy products and birds eggs (02),Hungary,324.0,False,2,Food and Beverages,HUN
Value of Imports,2015,Dairy products and birds eggs (02),India,0.0,False,2,Food and Beverages,IND
Value of Imports,2015,Dairy products and birds eggs (02),Italy,13696.0,False,2,Food and Beverages,ITA
Value of Imports,2015,Dairy products and birds eggs (02),Japan,6.0,False,2,Food and Beverages,JPN
Value of Imports,2015,Dairy products and birds eggs (02),South Korea,0.0,False,2,Food and Beverages,KOR
Value of Imports,2015,Dairy products and birds eggs (02),Lithuania,1225.0,False,2,Food and Beverages,LTU
Value of Imports,2015,Dairy products and birds eggs (02),Luxembourg,,True,2,Food and Beverages,LUX
Value of Imports,2015,Dairy products and birds eggs (02),Latvia,711.0,False,2,Food and Beverages,LVA
Value of Imports,2015,Dairy products and birds eggs (02),Malta,,True,2,Food and Beverages,MLT
Value of Imports,2015,Dairy products and birds eggs (02),Mexico,,True,2,Food and Beverages,MEX
Value of Imports,2015,Dairy products and birds eggs (02),Malaysia,,True,2,Food and Beverages,MYS
